23.S1-111;Allana;10.0
23.S2-222;Breno;8.9
23.S1-333;Cida;6.7
23.S2-444;Denis;99.0
23.S1-555;Edna;4.5
23.S2-666;Felix;2.3
23.S1-777;Gertrudes;99.0
23.S2-888;Hector;0.1
23.S1-999;Ivone;99.0
23.S1-123;Jorge;7.5
23.S2-456;Karen;9.9
23.S1-789;Leonidas;5.2
23.S1-321;Matilda;6.3
23.S2-654;Nivaldo;2.1
23.S1-987;Odete;4.7
23.S1-191;Plinio;0.3
23.S2-282;Quiteria;3.9
23.S1-373;Ronildo;99.0
23.S2-464;Samanta;8.3
23.S1-505;Thales;99.0
23.S1-135;Ursula;9.1
23.S2-246;Vanderlei;10.0
23.S1-357;Wilma;99.0
23.S2-468;Xavier;8.2
23.S1-579;Yasmin;9.3
23.S2-680;Zacarias;99.0
